employees,altman_score,piotroski_score,Decarbonization Target_Target Year,Decarbonization Target_Comprehensiveness,Decarbonization Target_Ambition p.a.,Temperature Goal,esg,environmental_metric,social_metric,governance_metric,involvement_metric
6459,4.08,9,2030,1.92,0.91,1.7,17.2,5.01,8.54,2.01,0.04
120000,1.63,7,2050,60.56,-1.71,2.9,14.4,4.01,8.7,1.51,0.04
58000,1.91,7,2040,100.0,-5.56,2.0,12.3,4.51,9.2,2.01,0.04
282200,3.08,5,2030,100.0,-12.5,1.6,14.1,4.51,10.86,2.01,0.04
11144,1.85,5,2030,36.58,-1.63,2.3,14.5,5.01,8.54,2.01,0.04
14789,4.54,6,2040,100.0,-5.56,1.4,14.1,4.51,8.54,2.01,0.04
3700,0.93,6,2033,10.68,0.94,1.6,15.4,4.01,8.04,2.01,0.04
164000,1.9,7,2050,100.0,-3.57,1.3,14.1,4.51,9.7,2.01,0.04
221000,9.38,6,2045,100.0,-3.79,1.4,15.4,5.01,10.030000000000001,2.34,0.04
84900,3.35,8,2040,100.0,-5.56,1.8,13.9,4.01,9.530000000000001,2.01,0.04
13568,4.85,6,2030,1.16,0.88,1.6,18.2,4.51,9.04,2.01,0.04
347700,6.54,7,2050,100.0,-3.57,1.3,16.5,4.01,9.2,2.34,0.04
24900,3.6,6,2050,100.0,-3.57,1.4,28.8,4.01,9.04,1.51,0.04
48000,4.64,7,2050,100.0,-3.57,3.7,23.2,5.01,8.7,2.01,0.04
50000,1.77,5,2026,4.38,0.9,2.3,21.1,4.51,10.86,2.01,1.03
34300,1.75,4,2035,50.76,-0.6,4.0,18.3,5.01,10.2,2.01,0.04
26000,12.54,7,2030,0.77,0.95,2.7,15.0,4.01,8.04,1.51,0.04
12000,2.66,7,2030,90.37,-3.83,1.7,15.4,4.51,8.54,2.01,0.04
733000,7.35,7,2035,100.0,-7.69,1.3,9.8,4.01,10.69,2.01,0.04
182381,13.24,8,2030,100.0,-12.5,1.4,24.2,5.01,10.530000000000001,2.01,0.04
18800,5.32,7,2026,1.51,1.0,1.6,17.3,4.51,9.54,2.01,0.04
29945,12.66,8,2035,47.3,-2.27,1.4,14.9,4.01,9.54,1.51,0.04
60000,-0.22,6,2025,3.87,-0.32,1.7,16.1,5.01,9.04,2.01,0.04
5406,3.92,7,2030,1.79,1.02,3.4,25.2,4.01,10.7,1.51,0.04
161000,7.9,9,2030,100.0,-11.58,1.7,16.7,4.01,11.69,2.34,0.04
21000,4.17,8,2030,1.58,1.02,3.0,13.3,4.51,8.04,1.51,0.04
85000,1.81,4,2040,12.45,0.47,2.7,41.3,5.34,11.02,2.01,0.04
4023,20.5,5,2024,0.04,0.99,2.4,15.4,4.01,9.04,2.01,0.04
347700,6.54,7,2050,100.0,-3.57,1.3,16.5,4.01,9.2,2.34,0.04
31900,4.8,6,2050,100.0,-3.57,1.3,14.1,4.51,9.04,2.34,0.04
