employees,altman_score,piotroski_score,Decarbonization Target_Target Year,Decarbonization Target_Comprehensiveness,Decarbonization Target_Ambition p.a.,Temperature Goal,esg,Weapons,Gambling,Tobacco,Alcoholic,Environment,controversies_metric,sdg_metric
6459.0,4.08,9,2030,1.92,0.91,1.7,17.2,0.0,0.0,0.0,0.0,0.0,12.0,3.0
120000.0,1.63,7,2050,60.56,-1.71,2.9,14.4,0.0,0.0,0.0,0.0,0.0,10.0,7.0
58000.0,1.91,7,2040,100.0,-5.56,2.0,12.3,0.0,0.0,0.0,0.0,1.0,10.0,4.0
282200.0,3.08,5,2030,100.0,-12.5,1.6,14.1,0.0,0.0,0.0,0.0,0.0,8.0,2.0
11144.0,1.85,5,2030,36.58,-1.63,2.3,14.5,0.0,0.0,0.0,0.0,0.0,12.0,3.0
14789.0,4.54,6,2040,100.0,-5.56,1.4,14.1,0.0,0.0,0.0,0.0,0.0,12.0,4.0
3700.0,0.93,6,2033,10.68,0.94,1.6,15.4,0.0,0.0,0.0,0.0,0.0,12.0,6.0
164000.0,1.9,7,2050,100.0,-3.57,1.3,14.1,0.0,0.0,0.0,0.0,0.0,10.0,3.0
221000.0,9.38,6,2045,100.0,-3.79,1.4,15.4,0.0,0.0,0.0,0.0,0.0,8.0,2.0
84900.0,3.35,8,2040,100.0,-5.56,1.8,13.9,0.0,0.0,0.0,0.0,0.0,9.0,5.0
13568.0,4.85,6,2030,1.16,0.88,1.6,18.2,0.0,0.0,0.0,0.0,0.0,12.0,3.0
347700.0,6.54,7,2050,100.0,-3.57,1.3,16.5,0.0,0.0,0.0,0.0,0.0,9.0,5.0
24900.0,3.6,6,2050,100.0,-3.57,1.4,28.8,0.0,0.0,0.0,0.0,0.0,12.0,5.0
48000.0,4.64,7,2050,100.0,-3.57,3.7,23.2,0.0,0.0,0.0,0.0,1.0,10.0,4.0
50000.0,1.77,5,2026,4.38,0.9,2.3,21.1,1.0,0.0,0.0,0.0,0.0,8.0,2.0
34300.0,1.75,4,2035,50.76,-0.6,4.0,18.3,0.0,0.0,0.0,0.0,0.0,10.0,1.0
26000.0,12.54,7,2030,0.77,0.95,2.7,15.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0
12000.0,2.66,7,2030,90.37,-3.83,1.7,15.4,0.0,0.0,0.0,0.0,0.0,12.0,4.0
733000.0,7.35,7,2035,100.0,-7.69,1.3,9.8,0.0,0.0,0.0,0.0,0.0,7.0,4.0
182381.0,13.24,8,2030,100.0,-12.5,1.4,24.2,0.0,0.0,0.0,0.0,0.0,9.0,1.0
