home_name,link_name,type
F5 Networks,Dell,partnership
F5 Networks,Hewlett Packard,partnership
F5 Networks,IBM,partnership
Accenture,Microsoft,partnership
Accenture,Oracle,partnership
AMD,Adobe,partnership
AMD,Altair Engineering,partnership
AMD,ANSYS,partnership
AMD,Autodesk,partnership
AMD,Microsoft,partnership
AMD,Symantec,partnership
AMD,Hewlett Packard,partnership
AMD,IBM,partnership
Arista Networks,Intel,partnership
Arista Networks,Microsoft,partnership
Arista Networks,NetApp,partnership
Arista Networks,Palo Alto Networks,partnership
Arista Networks,Zscaler,partnership
Cognizant Technology Solutions,Adobe,partnership
Cognizant Technology Solutions,Hewlett Packard,partnership
Cognizant Technology Solutions,Cisco,partnership
Cognizant Technology Solutions,IBM,partnership
Cognizant Technology Solutions,Infor,partnership
Cognizant Technology Solutions,Microsoft,partnership
Cognizant Technology Solutions,NetApp,partnership
Cognizant Technology Solutions,Oracle,partnership
Cognizant Technology Solutions,Pega,partnership
NetApp,Cisco,partnership
NetApp,Microsoft,partnership
NetApp,Oracle,partnership
Accenture,Adobe,partnership
Accenture,Dell,partnership
Accenture,Hewlett Packard,partnership
Accenture,IBM,partnership
Accenture,NetApp,partnership
Accenture,ServiceNow,partnership
Accenture,Symantec,partnership
Accenture,Telstra,partnership
Accenture,Workday,partnership
Google,Twilio,partnership
IBM,Accenture,partnership
IBM,CD,partnership
IBM,Cognizant Technology Solutions,partnership
Booz Allen Hamilton,Intel,partnership
Booz Allen Hamilton,Microsoft,partnership
NetApp,CAE,partnership
NetApp,CD,partnership
NetApp,IBM,partnership
NetApp,Mitre Corp.,partnership
NetApp,F5 Networks,partnership
NetApp,Hewlett Packard,partnership
NetApp,Intel,partnership
NetApp,Juniper Networks,partnership
NetApp,Palo Alto Networks,partnership
NetApp,Symantec,partnership
Microsoft,Dell,partnership
Microsoft,CD,partnership
Microsoft,Hewlett Packard,partnership
Microsoft,Okta,partnership
Microsoft,MSI,partnership
Microsoft,NetApp,partnership
Microsoft,IBM,partnership
Microsoft,Cisco,partnership
Microsoft,F5 Networks,partnership
Microsoft,Zscaler,partnership
Oracle,Accenture,partnership
Oracle,Cognizant Technology Solutions,partnership
Oracle,Dell,partnership
Oracle,Hewlett Packard,partnership
Oracle,IBM,partnership
Oracle,MT,partnership
Oracle,Open Technologies,partnership
Dell,Emerson,partnership
Dell,Microsoft,partnership
Dell,Oracle,partnership
Dell,Symantec,partnership
Workday,Accenture,partnership
Workday,Aon,partnership
Workday,Hewlett Packard,partnership
Workday,IBM,partnership
Workday,Towers Watson,partnership
Workday,Adobe,partnership
Twilio,IBM,partnership
Workday,Microsoft,partnership
Workday,Okta,partnership
Workday,ServiceNow,partnership
Adobe,Accenture,partnership
Adobe,Cognizant Technology Solutions,partnership
Adobe,EPAM Systems,partnership
Cisco,CD,partnership
Cisco,Accenture,partnership
Cisco,IBM,partnership
Cisco,Optiv,partnership
Cisco,"Johnson Controls, Inc.",partnership
Cisco,ADS INC,partnership
Cisco,Motorola Solutions,partnership
Cisco,"B &amp; J Computers, Inc.",partnership
Cisco,NETWORKS INC,partnership
Cisco,"IP-COM, INC.",partnership
Cisco,EBS,partnership
Cisco,Tech-Keys,partnership
Cisco,SITA,partnership
Cisco,TECHNOLOGY SOLUTIONS,partnership
Cisco,Williams &amp; Williams Logistics Inc.,partnership
Cisco,Class Group Inc,partnership
Cisco,DISCOVERY COMMUNICATIONS INC,partnership
Cisco,"ENT, INC",partnership
Cisco,B &amp; I Computer Systems,partnership
Cisco,SNAP INC,partnership
Cisco,WDS,partnership
Cisco,Akamai,partnership
Cisco,COMMSCOPE,partnership
Cisco,Oracle,partnership
Cisco,Symantec,partnership
Cisco,Networks Inc.,partnership
Cisco,Google,partnership
Cisco,Pega,partnership
Cisco,Power &amp; Telephone Supply Company,partnership
Cisco,Dell,partnership
Cisco,LD&amp;J CONSULTING SERVICES,partnership
